Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,0.22uF,
"C10, C15, C16, C2, C20, C3, C5, C6, C9",CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,9,~,
"C11, C13",CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,2,22uF,
C12,CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,1,470,
"C14, C19",CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,2,C2,
"C17, C18",CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal,2,C1,
C4,CP_Elec_4x5.4,1,1uF,
"C7, C8",CP_Elec_6.3x5.4,2,100uF,
"D1, D2, D3, D4",D_DO-15_P15.24mm_Horizontal,4,D,
J1,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,AudioJack2_Switch,
"J10, J11","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",2,Power in,
"J2, J3, J7, J9",PinHeader_1x01_P2.54mm_Vertical,4,Conn_01x01_Pin,
J4,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Speaker 8 Ohm,
J5,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,GDN terminals,
J6,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Sig,
J8,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Out,
"JP1, JP10, JP3, JP4, JP6, JP7, JP8",PinHeader_1x02_P2.54mm_Vertical,7,Jumper_2_Open,
"JP2, JP5",PinHeader_1x02_P2.54mm_Vertical,2,Jmpr,
JP9,PinHeader_1x02_P2.54mm_Vertical,1,~,
"Q1, Q19, Q3, Q8, Q9",TO-92_Inline,5,BC547,
"Q10, Q15, Q16, Q17, Q18, Q4, Q5, Q6",TRANS_J109,8,NJFET,
"Q11, Q12",TO-92_Inline,2,BC557,
"Q13, Q14, Q7",SOT23,3,PJFET,
Q2,TO-220-3_Horizontal_TabDown,1,TIP142,
R1,0805,1,56k,
R10,0805,1,68,
"R11, R23, R34, R36, R49, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,~,
"R12, R25, R26, R42, R44, R46",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,Rg,
R13,0805,1,22k,
R14,2512,1,"33, 2W",
R15,0805,1,560,
"R16, R52",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,Re,
"R17, R29, R30, R35, R45, R47, R50, R51",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,Rs,
"R18, R19, R20, R24, R31, R37, R38, R39, R40, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10,Rd,
R2,0805,1,4.7k,
"R21, R32",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,430,
"R22, R33",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470,
R27,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,16,
R28,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,50,
R3,0805,1,5.6k,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,Rc,
"R41, R43, R48, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,Rl,
R9,0805,1,10k,
SW1,SW_DIP_SPSTx07_Slide_9.78x19.96mm_W7.62mm_P2.54mm,1,SW_DIP_x07,
SW2,SW_DIP_SPSTx11_Slide_9.78x30.12mm_W7.62mm_P2.54mm,1,SW_DIP_x11,
