Designator,Mid X,Mid Y,Rotation,Layer
C1,89.474,-48.514,0.0,top
C10,138.176,-52.5895,0.0,top
C11,138.066,-39.4855,180.0,top
C12,160.1525,-59.309,270.0,top
C13,138.066,-45.8355,180.0,top
C14,164.0725,-88.773,270.0,top
C15,131.4335,-109.347,270.0,top
C16,151.3955,-119.761,90.0,top
C17,111.7715,-113.792,90.0,top
C18,176.2645,-88.519,270.0,top
C19,124.0675,-110.363,270.0,top
C2,178.308,-40.7555,180.0,top
C20,138.193,-122.936,180.0,top
C3,142.6095,-69.342,270.0,top
C4,86.614,-58.801,90.0,top
C5,174.752,-46.4705,180.0,top
C6,128.5355,-66.04,90.0,top
C7,98.044,-48.514,180.0,top
C8,98.044,-57.785,270.0,top
C9,173.99,-52.1855,180.0,top
D1,114.173,-54.229,90.0,top
D2,143.908,-33.782,0.0,top
D3,118.872,-54.102,270.0,top
D4,150.893,-53.34,270.0,top
J1,90.835,-125.095,0.0,top
J10,88.519,-68.764,270.0,top
J11,88.519,-80.814,270.0,top
J2,91.186,-61.341,0.0,top
J3,96.266,-118.11,0.0,top
J4,191.6885,-54.991,90.0,top
J5,88.519,-109.22,270.0,top
J6,88.519,-92.864,270.0,top
J7,96.012,-94.996,0.0,top
J8,191.9785,-69.215,90.0,top
J9,195.453,-96.901,0.0,top
JP1,111.76,-68.331,180.0,top
JP10,136.398,-87.884,0.0,top
JP2,155.067,-102.489,0.0,top
JP3,121.412,-88.773,90.0,top
JP4,151.765,-80.772,0.0,top
JP5,151.511,-92.964,0.0,top
JP6,119.634,-74.036,0.0,top
JP7,169.037,-64.516,270.0,top
JP8,175.641,-64.516,270.0,top
JP9,146.431,-110.993,0.0,top
Q1,89.916,-52.578,270.0,top
Q10,149.81675,-88.1695,0.0,top
Q11,123.444,-38.735,270.0,top
Q12,159.55,-45.72,270.0,top
Q13,119.507,-79.375,180.0,top
Q14,180.086,-66.929,0.0,top
Q15,169.88275,-81.0575,0.0,top
Q16,135.636,-83.19,0.0,top
Q17,138.64075,-101.7585,0.0,top
Q18,115.39975,-101.6315,0.0,top
Q19,135.636,-93.879,180.0,top
Q2,95.487,-38.354,270.0,top
Q3,187.579,-46.482,270.0,top
Q4,137.24375,-61.4995,0.0,top
Q5,112.1725,-74.21125,90.0,top
Q6,119.4805,-84.41175,270.0,top
Q7,151.935,-75.377,90.0,top
Q8,109.601,-38.862,270.0,top
Q9,159.677,-39.497,270.0,top
R1,85.471,-50.546,0.0,top
R10,90.932,-56.515,0.0,top
R11,169.672,-56.515,180.0,top
R12,132.969,-64.897,270.0,top
R13,89.408,-46.355,180.0,top
R14,106.045,-51.689,270.0,top
R15,90.932,-58.547,180.0,top
R16,169.672,-59.69,180.0,top
R17,139.319,-57.15,0.0,top
R18,115.189,-70.612,90.0,top
R19,112.908,-87.884,270.0,top
R2,85.471,-48.387,0.0,top
R20,155.575,-80.137,270.0,top
R21,114.173,-38.608,270.0,top
R22,155.194,-37.846,270.0,top
R23,154.94,-92.71,270.0,top
R24,148.082,-96.012,270.0,top
R25,116.337,-88.011,90.0,top
R26,153.035,-72.009,180.0,top
R27,109.982,-49.657,270.0,top
R28,155.084,-63.627,90.0,top
R29,117.861,-95.758,0.0,top
R3,85.344,-46.101,0.0,top
R30,158.75,-80.137,270.0,top
R31,123.063,-75.057,90.0,top
R32,118.872,-38.481,90.0,top
R33,155.211,-50.419,270.0,top
R34,144.653,-95.631,90.0,top
R35,151.511,-102.235,90.0,top
R36,183.515,-66.675,90.0,top
R37,168.529,-88.773,270.0,top
R38,172.085,-67.945,180.0,top
R39,127.508,-90.429,270.0,top
R4,174.117,-32.893,0.0,top
R40,136.017,-110.363,90.0,top
R41,159.512,-92.964,90.0,top
R42,140.208,-88.524,90.0,top
R43,140.335,-118.364,0.0,top
R44,139.319,-110.363,270.0,top
R45,142.621,-110.363,270.0,top
R46,116.205,-109.728,270.0,top
R47,119.507,-105.664,270.0,top
R48,119.38,-118.237,90.0,top
R49,175.514,-71.374,0.0,top
R5,123.825,-61.595,90.0,top
R50,171.704,-88.773,90.0,top
R51,175.514,-74.676,0.0,top
R52,130.81,-90.556,270.0,top
R6,174.117,-36.195,0.0,top
R7,166.243,-37.592,270.0,top
R8,147.066,-61.849,90.0,top
R9,85.598,-53.086,180.0,top
SW1,186.7325,-88.9125,0.0,top
SW2,103.0224,-89.8144,0.0,top
